Col1,Col2,Col3,Col4,Col5,Col6,Col7,ClassificationLabel
Word32 Word3 Word4 Word7,2140001027,"19,375.00",Word788 Word789 Word790,5/31/2018,Word560 Word561 Word551 Word4,Doc1,Category_1
Word33 Word34 Word35 Word7,108644-1359,"3,440.88",Word562,10/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word16 Word17 Word18 Word7,2467,349.2,Word785 Word330 Word99 Word764 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word36 Word37 Word29,2252941,435.42,Word130 Word791,9/30/2018,Word560 Word561 Word366 Word562,Doc1,Category_1
Word38 Word4 Word39,41479704,"4,100.00",Word792 Word793 Word794 Word795,2/1/2018,Word563 Word121 Word579,NoDoc,Category_1
Word16 Word17 Word18 Word7,JJ1726,"5,040.00",Word796 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,71929,108,Word797 Word190 Word798 Word799,10/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,YP1262,180,Word800 Word801,9/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,3260,"1,292.00",Word785 Word330 Word99 Word764 Word26,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word40 Word41 Word4 Word5,1564,816,Word802 Word278 Word803,5/31/2018,Word567 Word582 Word583 Word584 Word585 Word586,Doc1,Category_1
Word16 Word17 Word18 Word7,5151,249.6,Word338 Word568 Word650,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word42 Word43 Word5,7632,870,Word804 Word805 Word806,2/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word44 Word45 Word46,201811-00046,"8,799,523.59",Word807 Word808 Word46,12/31/2018,Word563 Word587,NoDoc,Category_1
Word16 Word17 Word18 Word7,3278,753.6,Word785 Word330 Word99 Word764 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word24 Word22 Word4 Word5,23141,"1,275.00",Word562 Word61,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word47 Word3 Word4 Word39,2018008475,"5,163.50",Word60 Word99 Word764 Word26,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word48 Word3 Word4 Word5,IK20170536,52,Word61,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word41 Word49 Word7,3552,"10,004.60",Word13 Word794,11/30/2018,Word52 Word330 Word566,NoDoc,Category_1
Word50 Word51 Word4 Word5,1622,297.5,Word797 Word809 Word779 Word810 Word811,11/30/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,16419,28.32,Word812,8/31/2018,Word576 Word115 Word575,Doc3,Category_2
Word16 Word17 Word18 Word7,NU1496,360,Word783 Word784,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word52 Word53 Word7,363096,"1,644.67",Word813 Word814 Word815,1/1/2018,Word588 Word568 Word589 Word590 Word591 Word592,Doc1,Category_2
Word16 Word17 Word3 Word7,71871,"1,580.00",Word798 Word816,9/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,15406,691.67,Word817 Word818 Word805,7/31/2018,Word563 Word575,NoDoc,Category_2
Word54 Word3 Word4,FKM52390,862.5,,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,LN1723,540,Word819 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word30 Word31,649991,340,Word123 Word190,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,70965,360,Word820 Word821 Word815,6/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word55 Word56 Word57 Word5,59160,"53,440.16",Word278 Word822 Word593 Word823,8/31/2018,Word52 Word330 Word566,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,19019,"1,558.54",Word575,10/31/2018,Word563 Word575,NoDoc,Category_2
Word58 Word3 Word4 Word5,12799,"1,265.00",Word824 Word789 Word816 Word825,3/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word59 Word60 Word61 Word5,871,54,Word826 Word26,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word62 Word63 Word18 Word7,211442V,600,Word60 Word99 Word764 Word780,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word64 Word65 Word7 Word66 Word67,17211,"4,137.00",Word593 Word827,9/30/2018,Word560 Word561 Word593 Word578 Word65,Doc1,Category_1
Word68 Word69,QQDSGKTAMXL060818,847.31,Word613 Word781 Word828,6/30/2018,Word571 Word52 Word594 Word595 Word596 Word597,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80Q+11,"2,210.00",Word829 Word784 Word785,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80Y+11,60,Word61,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word70 Word47 Word71 Word72 Word7,287399,"12,935.72",Word699 Word830 Word695 Word831 Word808,6/30/2018,Word563 Word598 Word71,NoDoc,Category_1
Word16 Word17 Word18 Word7,6648,320.4,Word783 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,71306,"1,962.00",Word832 Word190 Word833,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word44 Word45 Word46,201805-00053-YC0,"2,570,126.23",Word834 Word835 Word46,6/30/2018,Word560 Word561 Word599 Word562,Doc1,Category_1
Word38 Word4 Word39,41525622,"24,500.00",Word121 Word836,10/31/2018,Word563 Word121 Word579,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80Q+11,600,Word577,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,71902,270.75,Word837 Word172 Word191,9/30/2018,Word563 Word366 Word562,NoDoc,Category_2
Word73 Word4 Word5,1753,"2,022.50",Word838,6/30/2018,Word563 Word366 Word562,NoDoc,Category_2
Word73 Word4 Word5,6229,295,Word839 Word53 Word190,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word74 Word75 Word44 Word5,VAL00128,"-269,111.58",Word840 Word841 Word842 Word843,3/1/2018,Word563 Word600 Word601 Word602,NoDoc,Category_1
Word42 Word43 Word5,7440,"3,040.00",Word844 Word278,1/1/2018,Word560 Word603 Word604 Word605 Word606,Doc1,Category_1
Word44 Word45 Word46,201806-00045,"2,829,197.98",Word845 Word835 Word46,7/31/2018,Word563 Word580 Word202 Word592,NoDoc,Category_1
Word48 Word3 Word4 Word5,JA20173618,178,Word564 Word9 Word26,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word76 Word77 Word5,52025857,"11,200.00",Word846 Word791 Word45 Word847,2/1/2018,Word560 Word561 Word107,Doc1,Category_1
Word16 Word17 Word3 Word7,70569,"1,046.00",Word848 Word849,5/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,3815,238.5,Word596 Word784 Word785,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word78 Word79 Word11 Word5,I101418-09,48,Word61,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word80 Word3 Word4,M150240,"65,671.29",Word592 Word562,10/31/2018,Word567 Word568 Word569 Word295,Doc1,Category_1
Word30 Word31,660098,240,Word61,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word74 Word75 Word44 Word5,TFM00128,"-269,111.58",Word840 Word841 Word842 Word843,3/1/2018,Word563 Word600 Word601 Word602,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80H+11,670.8,Word779 Word258 Word780,12/1/2017,Word567 Word568 Word569 Word570,Doc1,Category_1
Word59 Word60 Word61 Word5,1003,"4,410.00",Word826 Word780,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word81 Word82 Word5,141958,400.7,Word643 Word82,7/31/2018,Word563 Word82 Word9 Word607,NoDoc,Category_1
Word83 Word84 Word44 Word7,20818-8-1,"1,913.13",Word850 Word65,5/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64606,39.64,Word851 Word852 Word278,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word89 Word44 Word5,66472698,"5,016.00",Word644,4/1/2018,Word563 Word608 Word609,NoDoc,Category_2
Word24 Word22 Word4 Word5,23421,"1,020.00",Word562 Word26 Word60 Word99,11/30/2018,Word563 Word132 Word610,NoDoc,Category_1
Word83 Word84 Word44 Word7,21418-3-1,"2,017.31",Word850 Word853,6/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64876,105,Word854 Word855 Word654,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word80 Word3 Word4,A139832,"38,403.58",Word592 Word856 Word562,8/31/2018,Word567 Word568 Word569 Word295,Doc1,Category_1
Word90 Word91 Word92 Word7,109558,"17,212.50",Word857 Word858 Word859,3/1/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_1
Word93 Word94 Word95 Word4 Word7,15364,"5,250.00",Word319 Word295,6/30/2018,Word563 Word121 Word579,NoDoc,Category_1
Word25 Word26,051518-16,160,Word9 Word785,6/30/2018,Word560 Word611 Word612,Doc1,Category_1
Word16 Word17 Word18 Word7,1639,140.4,,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word96 Word3 Word4 Word5,86475,"2,070.00",Word123 Word190,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3259,"1,292.00",Word338 Word330 Word99 Word764 Word26,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word97 Word91 Word4 Word5,18-10133,720,Word797 Word190,8/31/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word54 Word98 Word4 Word7,19086,700,Word593 Word860,12/31/2018,Word560 Word561 Word366 Word562,Doc1,Category_1
Word99 Word100 Word22 Word4 Word7,18088,"6,970.00",Word562,1/1/2018,Word613 Word99 Word614 Word366 Word562,Doc2,Category_1
Word101 Word102 Word103 Word7,112472,"171,390.49",Word861 Word862 Word863,6/30/2018,Word576 Word366 Word562,Doc3,Category_2
Word42 Word43 Word5,7987,"36,000.00",Word773 Word774,5/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,2739,540,,2/1/2018,Word563 Word132 Word610,NoDoc,Category_1
Word54 Word3 Word4,MSS67545,314,Word797 Word190 Word99 Word602,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,2457,842.4,Word787 Word784 Word785,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word80 Word3 Word4,I150265,"29,196.29",Word592 Word562,10/31/2018,Word567 Word568 Word569 Word295,Doc1,Category_1
Word104 Word105 Word4 Word5,ICV/21663,702,Word864 Word105,3/1/2018,Word563 Word174,NoDoc,Category_1
Word73 Word4 Word5,3769,"1,590.00",Word838,8/31/2018,Word563 Word615 Word211,NoDoc,Category_2
Word106 Word107 Word7,83025-1,"3,019.00",Word777 Word865 Word45 Word865 Word866,4/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word73 Word4 Word5,5796,"3,874.00",Word562 Word615 Word53,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word73 Word4 Word5,1804022,"8,411.00",Word653 Word53,6/30/2018,Word563 Word366 Word562,NoDoc,Category_2
Word73 Word4 Word5,1804164,552.74,Word633 Word115,7/31/2018,Word563 Word575,NoDoc,Category_2
Word8 Word9 Word10 Word11 Word5,4.80U+11,60,Word783 Word784 Word568 Word650,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word42 Word43 Word5,8455,615,Word867 Word849,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,3276,"1,123.20",Word785 Word330 Word99 Word764 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,13552,158.48,Word868,4/1/2018,Word563 Word575,NoDoc,Category_2
Word108 Word109 Word45 Word5,1169,"57,646.50",Word869 Word870 Word785,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word110 Word22 Word4 Word5,JE51-25257,425,Word338 Word330 Word99 Word764 Word61,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word78 Word79 Word11 Word5,B081418-08,"16,806.80",Word330 Word99 Word26,9/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word111 Word112 Word91 Word107 Word7,26975,"10,326.00",Word846 Word791,1/1/2018,Word567 Word582 Word107,Doc1,Category_1
Word16 Word17 Word18 Word7,IA1695,"5,040.00",Word9 Word26,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,2238,140.4,,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-1415,"2,866.86",Word602 Word45 Word842 Word871 Word842 Word872,11/30/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,13630,"1,086.02",Word873,4/1/2018,Word563 Word575,NoDoc,Category_1
Word113 Word114 Word115 Word7,153915,"21,720.00",Word874 Word875 Word99 Word602,11/30/2018,Word560 Word561 Word366 Word562,Doc1,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65998,630,Word876 Word706 Word84,3/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word48 Word3 Word4 Word5,UA20182475,"4,152.00",Word877 Word132 Word878 Word642,8/31/2018,Word560 Word561 Word612,Doc1,Category_1
Word16 Word17 Word18 Word7,2672,152.1,Word785 Word330 Word99 Word764 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3508,"1,281.60",Word785 Word330 Word99 Word764 Word26,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,UL1666,"5,040.00",Word879 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word48 Word3 Word4 Word5,IW20180326,270,Word877,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word14 Word15,YJJPRQVRSL072618,"1,898.83",Word613 Word781 Word782,8/31/2018,Word571 Word52 Word616 Word617 Word579,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80Q+11,65,Word61,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word116 Word117 Word118 Word119 Word7,155118,576,Word51 Word791,10/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,RL357,"2,520.00",Word330 Word99 Word764 Word26,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word120 Word121 Word31,42846,"5,710.19",Word792 Word880 Word856,1/1/2018,Word563 Word121 Word579,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-666,"5,273.64",Word562,3/1/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-857,"6,414.74",Word193 Word881 Word865 Word882 Word699 Word883,5/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80W+11,60,Word61,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word122 Word123 Word21 Word124 Word5,OJM19619,360,Word61,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80T+11,516,Word884 Word784 Word568 Word650,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,2917,280.8,Word885 Word784 Word785,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,71676,"1,188.00",Word886 Word887 Word278,8/31/2018,Word563 Word366 Word562,NoDoc,Category_2
Word16 Word17 Word18 Word7,3534,"1,383.00",Word61,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word41 Word125 Word34 Word5,4312,"9,560.00",Word569 Word888 Word889,2/1/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_1
Word126 Word127 Word128,474021,"32,125.20",Word890 Word891 Word892,12/1/2017,Word571 Word52 Word618 Word619 Word13,NoDoc,Category_1
Word129 Word130 Word5,K-0012,480,Word893 Word894 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word44 Word45 Word46,201806-00045,"2,829,197.98",Word845 Word835 Word46,7/31/2018,Word560 Word561 Word620 Word202 Word592,Doc1,Category_1
Word16 Word17 Word18 Word7,1932,"1,170.00",Word338 Word783 Word784 Word569,12/1/2017,Word567 Word568 Word569 Word570,Doc1,Category_1
Word113 Word114 Word115 Word7,151540,"5,550.00",Word875 Word99 Word895,9/30/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,4677,320.4,Word783 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word131 Word132 Word133 Word5,P21712004,"65,688.35",Word896 Word883 Word897 Word191,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,12539,"1,485.93",Word575,3/1/2018,Word563 Word575,NoDoc,Category_2
Word16 Word17 Word18 Word7,IH1666,"5,040.00",Word879 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3457,"1,068.00",Word785 Word898 Word764 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,HQ116,135,Word255 Word791,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-759,"6,817.20",Word562 Word895,4/1/2018,Word560 Word366 Word562,Doc1,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65973,262.52,Word899 Word805 Word605,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,CL1095,"2,520.00",Word884 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,71941,162.02,Word900 Word805 Word785 Word794,10/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word134 Word61 Word45 Word39,1192-2,35,Word61,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,2532,280.8,Word785 Word330 Word99 Word764 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word135 Word136 Word7,3676383,"2,039.67",Word643 Word82,4/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,10723,882.13,Word575,12/1/2017,Word563 Word575,NoDoc,Category_2
Word116 Word117 Word118 Word119 Word7,155484,480,Word51 Word794 Word562,11/30/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word58 Word3 Word4 Word5,13309,340,Word901 Word343,9/30/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word96 Word3 Word4 Word5,88359,270,Word123 Word190,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word44 Word45 Word46,201805-00053-LI0,"2,570,126.23",Word834 Word835 Word46,6/30/2018,Word563 Word174,NoDoc,Category_1
Word30 Word31,669421,336,Word826 Word780,7/31/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word113 Word114 Word115 Word7,146305,498.75,Word578 Word791,5/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word42 Word43 Word5,8490,870,Word562,10/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65410,210,Word876 Word902,2/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word16 Word17 Word18 Word7,3968,"1,215.00",Word797 Word338 Word650,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word81 Word82 Word5,138585,849.4,Word643 Word82,4/1/2018,Word563 Word82 Word9 Word607,NoDoc,Category_1
Word30 Word31,676953,"2,036.00",Word903 Word780,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word74 Word75 Word44 Word5,RPM00128,"-269,111.58",Word840 Word841 Word842 Word843,3/1/2018,Word563 Word600 Word601 Word602,NoDoc,Category_1
Word16 Word17 Word18 Word7,AZ1258,"1,080.00",Word785 Word904 Word764 Word26,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word59 Word60 Word61 Word5,1238,198,Word826 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word137 Word138 Word7,UZZE5868,"1,680.00",Word905 Word794,8/31/2018,Word563 Word359,NoDoc,Category_3
Word139 Word3 Word4 Word7,16050,"2,232.15",Word906 Word907,8/31/2018,Word563 Word174,NoDoc,Category_2
Word140 Word3 Word34,10081,"17,761.00",Word908 Word695 Word866 Word831 Word808,6/30/2018,Word560 Word561 Word107,Doc1,Category_1
Word44 Word45 Word46,201811-00046,"8,799,523.59",Word807 Word808 Word46,12/31/2018,Word563 Word250,NoDoc,Category_1
Word76 Word77 Word5,52025038,"20,816.00",Word777 Word909 Word910 Word909 Word911,1/1/2018,Word560 Word561 Word107,Doc1,Category_1
Word141 Word142 Word143 Word39,YULHMHCYU-080818MTQPWR,"12,433.46",Word658 Word912 Word609,8/31/2018,Word571 Word52 Word594 Word621 Word165 Word622 Word623,NoDoc,Category_1
Word144 Word145 Word146 Word147 Word7,125749,"3,465.00",Word516 Word913,5/31/2018,Word576 Word366 Word562,Doc3,Category_1
Word42 Word43 Word5,8288,725,Word330 Word914 Word806,8/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word110 Word22 Word4 Word5,XC51-24222,382.5,Word338 Word9 Word764 Word61,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word74 Word75 Word44 Word5,OMB00128,"-269,111.58",Word840 Word841 Word842 Word843,3/1/2018,Word563 Word600 Word601 Word602,NoDoc,Category_1
Word16 Word17 Word18 Word7,6586,320.4,Word783 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-972,"6,052.26",Word895,6/30/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word30 Word31,653110,"1,691.00",Word60 Word99 Word26,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,OI1599,"3,780.00",Word330 Word99 Word26,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word41 Word125 Word34 Word5,231,"9,120.00",Word278 Word772 Word602 Word889,2/1/2018,Word567 Word582 Word583 Word584 Word585 Word586,Doc1,Category_1
Word33 Word34 Word35 Word7,108644-957,"3,503.94",Word562,6/30/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word113 Word114 Word115 Word7,154074,"4,255.00",Word578 Word286 Word257 Word491,11/30/2018,Word560 Word561 Word612,Doc1,Category_1
Word30 Word31,658786,604,Word61,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word44 Word45 Word46,201811-00046,"8,799,523.59",Word807 Word808 Word46,12/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,13238,620,Word915 Word916 Word575,3/1/2018,Word563 Word575,NoDoc,Category_2
Word73 Word4 Word5,6210,330,Word838 Word839 Word53,10/31/2018,Word563 Word589 Word590,NoDoc,Category_1
Word16 Word17 Word18 Word7,EG1093,"2,520.00",Word884 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word139 Word3 Word4 Word7,16085,443.4,Word917 Word918 Word84 Word919,9/30/2018,Word576 Word589 Word174 Word592,Doc3,Category_2
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64975,105,Word920 Word921 Word789 Word855 Word922,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word148 Word75 Word5,XSW25982,"14,350.00",Word846 Word791,9/30/2018,Word560 Word561 Word107,Doc1,Category_1
Word149 Word150,LNIIXMJDZ051518,"1,546.85",Word613 Word781 Word923,5/31/2018,Word571 Word52 Word594 Word624 Word21 Word625,NoDoc,Category_1
Word16 Word17 Word18 Word7,VE550,360,Word819 Word785,7/31/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,11325,38.47,,1/1/2018,Word288 Word626 Word627,NoDoc,Category_2
Word16 Word17 Word18 Word7,MT941,"1,260.00",Word924 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80B+11,"1,150.00",Word925 Word784 Word577,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,JA1094,"6,300.00",Word926 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80P+11,58.5,Word330 Word99 Word26,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,LS1639,180,Word783 Word258 Word785 Word764 Word26,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
